order,short_name,display_name,filename,byte_start,byte_end
1,Genesis,Genesis,01-Genesis.html,5158,230989
2,Exodus,Exodus,02-Exodus.html,230989,415356
3,Leviticus,Leviticus,03-Leviticus.html,415356,545607
4,Numbers,Numbers,04-Numbers.html,545607,725012
5,Deuteronomy,Deuteronomy,05-Deuteronomy.html,725012,883560
6,Josue,Josue,06-Josue.html,883560,989499
7,Judges,Judges,07-Judges.html,989499,1106019
8,Ruth,Ruth,08-Ruth.html,1106019,1121625
9,1_Kings_Samuel,1. Kings / Samuel,09-1_Kings_Samuel.html,1121625,1273013
10,2_Kings_Samuel,2. Kings / Samuel,10-2_Kings_Samuel.html,1273013,1392307
11,3_Kings,3. Kings,11-3_Kings.html,1392307,1536683
12,4_Kings,4. Kings,12-4_Kings.html,1536683,1674005
13,1_Paralipomenon,1. Paralipomenon,13-1_Paralipomenon.html,1674005,1795053
14,2_Paralipomenon,2. Paralipomenon,14-2_Paralipomenon.html,1795053,1943065
15,1_Esdras,1. Esdras,15-1_Esdras.html,1943065,1987140
16,2_Esdras_Nehemias,2. Esdras / Nehemias,16-2_Esdras_Nehemias.html,1987140,2048937
17,Tobias,Tobias,17-Tobias.html,2048937,2090944
18,Judith,Judith,18-Judith.html,2090944,2147484
19,Esther,Esther,19-Esther.html,2147484,2198804
20,Job,Job,20-Job.html,2198804,2314608
21,Psalms,Psalms,21-Psalms.html,2314608,2616482
22,Proverbs,Proverbs,22-Proverbs.html,2616482,2710268
23,Ecclesiastes,Ecclesiastes,23-Ecclesiastes.html,2710268,2744175
24,Canticle_of_Canticles,Canticle of Canticles,24-Canticle_of_Canticles.html,2744175,2765738
25,Wisdom,Wisdom,25-Wisdom.html,2765738,2831599
26,Ecclesiasticus,Ecclesiasticus,26-Ecclesiasticus.html,2831599,3017655
27,Isaias,Isaias,27-Isaias.html,3017655,3239728
28,Jeremias,Jeremias,28-Jeremias.html,3239728,3490589
29,Lamentations,Lamentations,29-Lamentations.html,3490589,3512063
30,Baruch,Baruch,30-Baruch.html,3512063,3542808
31,Ezechiel,Ezechiel,31-Ezechiel.html,3542808,3779844
32,Daniel,Daniel,32-Daniel.html,3779844,3879912
33,Osee,Osee,33-Osee.html,3879912,3915905
34,Joel,Joel,34-Joel.html,3915905,3928972
35,Amos,Amos,35-Amos.html,3928972,3955860
36,Abdias,Abdias,36-Abdias.html,3955860,3960364
37,Jonas,Jonas,37-Jonas.html,3960364,3969257
38,Micheas,Micheas,38-Micheas.html,3969257,3994021
39,Nahum,Nahum,39-Nahum.html,3994021,4003193
40,Habacuc,Habacuc,40-Habacuc.html,4003193,4017406
41,Sophonias,Sophonias,41-Sophonias.html,4017406,4028329
42,Aggeus,Aggeus,42-Aggeus.html,4028329,4036153
43,Zacharias,Zacharias,43-Zacharias.html,4036153,4082924
44,Malachias,Malachias,44-Malachias.html,4082924,4095321
45,1_Machabees,1. Machabees,45-1_Machabees.html,4095321,4233694
46,2_Machabees,2. Machabees,46-2_Machabees.html,4233694,4336598
47,Matthew,Matthew,47-Matthew.html,4336598,4490949
48,Mark,Mark,48-Mark.html,4490949,4577310
49,Luke,Luke,49-Luke.html,4577310,4727453
50,John,John,50-John.html,4727453,4842684
51,Acts,Acts,51-Acts.html,4842684,4986448
52,Romans,Romans,52-Romans.html,4986448,5056098
53,1_Corinthians,1. Corinthians,53-1_Corinthians.html,5056098,5120330
54,2_Corinthians,2. Corinthians,54-2_Corinthians.html,5120330,5157872
55,Galatians,Galatians,55-Galatians.html,5157872,5178241
56,Ephesians,Ephesians,56-Ephesians.html,5178241,5197995
57,Philippians,Philippians,57-Philippians.html,5197995,5213141
58,Colossians,Colossians,58-Colossians.html,5213141,5228982
59,1_Thessalonians,1. Thessalonians,59-1_Thessalonians.html,5228982,5240967
60,2_Thessalonians,2. Thessalonians,60-2_Thessalonians.html,5240967,5248695
61,1_Timothy,1. Timothy,61-1_Timothy.html,5248695,5265116
62,2_Timothy,2. Timothy,62-2_Timothy.html,5265116,5276356
63,Titus,Titus,63-Titus.html,5276356,5282971
64,Philemon,Philemon,64-Philemon.html,5282971,5286316
65,Hebrews,Hebrews,65-Hebrews.html,5286316,5333368
66,James,James,66-James.html,5333368,5350024
67,1_Peter,1. Peter,67-1_Peter.html,5350024,5366445
68,2_Peter,2. Peter,68-2_Peter.html,5366445,5377431
69,1_John,1. John,69-1_John.html,5377431,5400389
70,2_John,2. John,70-2_John.html,5400389,5403432
71,3_John,3. John,71-3_John.html,5403432,5405889
72,Jude,Jude,72-Jude.html,5405889,5413416
73,Apocalypse,Apocalypse,73-Apocalypse.html,5413416,5492622
